halide_identifier,halide_SMILES
H28,C1=CC(=CC=C1C(=O)CBr)Cl
H29,CC1=CC(=C(C=C1)F)N
H30,CC1=C(C=CC=C1Cl)N
H31,C1=CC(=C(C=C1[N+](=O)[O-])Cl)N
H32,C1=CC(=C(C=C1Cl)[N+](=O)[O-])N
H33,CC1=C(C=CC=C1Cl)[N+](=O)[O-]
H34,CC1=C(C=C(C=C1)Cl)[N+](=O)[O-]
H35,C1=CC(=CC=C1CC#N)F
H36,CCOC(=O)C1=CC=C(C=C1)F
H37,C1=CC=C(C(=C1)C(=O)Cl)Cl
H38,C1=CC(=C(C(=C1)Cl)C=O)[N+](=O)[O-]
H39,C1=CSC=C1Br
H40,C1=CC=C(C(=C1)C(=O)NCC(=O)O)I
H41,C1=CC(=CC=C1C(=O)O)Br
H42,COC1=NN=C(C=C1)Cl
H43,C1=CC(=CC=C1S(=O)(=O)Cl)Br
H44,C1=CC(=C(C=C1Cl)N)N
H45,CCC1=CC=C(C=C1)Br
H46,C1=CC(=CC=C1C(=O)Cl)Cl
H47,CC1=CC=CC=C1Cl
H48,CC1=CC=C(C=C1)Cl
H49,C1=CC(=CC=C1CCl)Cl
H50,C1=CC(=CC=C1CBr)Br
H51,C1=CC(=CC=C1C=O)Cl
H52,C1=CC(=CC=C1C(=O)C(F)(F)F)Cl
H53,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-]
H54,C1=CC(=C(C=C1C(=O)O)C(=O)O)Br
H55,C1=CC(=C(C=C1C(=O)O)Br)C(=O)O
H56,C1=CC(=C(C=C1F)[N+](=O)[O-])C(=O)O
H57,C1=CC(=C(C=C1Cl)C#N)[N+](=O)[O-]
H58,C1=CC(=CC=C1C#N)Cl
H59,CC1=C(C(=CC=C1)C)Br
H60,C1=CC(=CC(=C1)Cl)CCl
H61,C1=CC(=C(N=C1)Br)O
H62,C1=CC(=C(N=C1)Cl)O
H63,COC1=CC(=C(C=C1)Cl)[N+](=O)[O-]
H64,CC1=CC(=NC=C1)Cl
H65,CC1=NC(=CC=C1)Cl
H66,C1=CC(=CC=C1C(=O)Cl)F
H67,C1=CC(=CC=C1NC(=O)CCl)Br
H68,C1=CC(=CC(=C1)Br)C=CC(=O)O
H69,CC1=NC(=C(C=C1)O)I
H70,COC(=O)C1=CC=C(C=C1)F
H71,C1=CC=C(C(=C1)C(=O)Cl)F
H72,C1=CC=C(C(=C1)C(=O)N)F
H73,C1=CC(=NC=C1Br)N
H74,CC1=CC(=NC(=N1)N)Cl
H75,CC1=CC(=C(C=C1)N)Br
H76,C=CC1=CC=C(C=C1)Br
H77,C1=CSC(=C1)Br
H78,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)[N+](=O)[O-]
H79,COC(=O)C1=C(C=CC(=C1)Br)O
H80,C1=CC(=CC=C1CC#N)Br
H81,C1=CC=C(C(=C1)C=O)Cl
H82,CC1=CC(=C(C=C1)N)Cl
H83,CC1=C(C(=CC=C1)Cl)C#N
H84,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)Cl
H85,CC1=C(C=C(C=C1)[N+](=O)[O-])Cl
H86,C1=CC(=C(C=C1N)N)Cl
H87,C1=CC(=CC=C1S)Cl
H88,CNCC1=CC=CC=C1Cl
H89,C1=CC(=CC(=C1)F)CN
H90,C1=CC(=CC(=C1)Cl)CN
H91,C1C2=C(C=CC(=C2)Cl)NC1=O
H92,C1=CC(=CC=C1C=O)F
H93,C1=CC(=CC=C1C(=O)O)F
H94,C1=CC(=CC(=C1)F)[N+](=O)[O-]
H95,C1=CC(=CC=C1N=C=S)F
H96,CCC(=O)C1=CC=C(C=C1)F
H97,C1=CC(=CC=C1N)I
H98,COC1=C(C(=CC(=C1)C=O)I)O
H99,COC1=C(C(=CC(=C1)C=O)Br)O
H100,COC1=C(C(=CC(=C1)C=O)Br)OC
H101,CC1=CC(=CC=C1)I
H102,C1=CC=C(C(=C1)O)Br
H103,C1=CN=C(C=N1)Cl
H104,C=CC1=CC(=CC=C1)Br
H105,C=CC1=CC=CC=C1Br
H106,CC(C1=CC=C(C=C1)F)O
H107,C1=CC(=CC=C1C(=O)CCl)F
H108,CC(=O)CC(=O)NC1=CC=C(C=C1)Cl
H109,C1=CC(=CC=C1S(=O)(=O)Cl)Cl
H110,C1=CC(=CC=C1C(=O)CCCl)F
H111,C1=CC=C(C(=C1)C(=O)O)Cl
H112,C1=CC(=CC=C1C(=O)O)Cl
H113,C1=CC(=C(C=C1[N+](=O)[O-])C#N)Cl
H114,C1=CC(=O)NC=C1Cl
H115,C1=CC=C(C(=C1)[N+](=O)[O-])I
H116,C1=CC(=CC=C1SCCl)Cl
H117,C1=CC(=CC(=C1)Cl)CBr
H118,C1=CC(=O)NC(=C1)Cl
H119,C1=CC(=C(C=C1Br)C=O)O
H120,C1=CC=C(C(=C1)C(=O)O)Br
H121,CC1=C(C=C(C=C1)Cl)C
H122,CC1=CC(=CC=C1)Cl
H123,C1=CC(=CC(=C1)I)C(=O)O
H124,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
H125,C1=CC(=CC=C1CC(=O)O)Br
H126,C1=CC(=C(C=C1[N+](=O)[O-])C=O)Cl
H127,C1=CC(=C(C(=C1)Cl)C#N)[N+](=O)[O-]
H128,C1=CC(=CC=C1CC(=O)O)Cl
H129,C1=CC(=CC=C1C#N)F
H130,C1=CC2=C(C=C1Cl)C(=O)C(=O)N2
H131,C1=CC2=C(C=C1I)C(=O)C(=O)N2
H132,C1=CC(=C(C(=C1)[N+](=O)[O-])Cl)C(=O)O
H133,C1CCC(C1)(C2=CC=C(C=C2)Cl)C(=O)O
H134,C1=CC(=CC=C1C(=O)CCCl)Cl
H135,CC(C1=CC=C(C=C1)Cl)O
H136,C1=CC(=CC(=C1)I)[N+](=O)[O-]
H137,C1=CC(=CC=C1C=CC#N)Cl
H138,CSC1=NC=CC(=N1)Cl
H139,C1=CC=C(C(=C1)CO)Cl
H140,CC(C1=CC=C(C=C1)Br)O
H141,COC1=C(C=CC(=C1)Cl)C(=O)O
H142,CCOC(=O)C1=CN=C(N=C1Cl)SC
H143,CC1=CC(=C(C=C1Cl)[N+](=O)[O-])O
H144,CCOC(=O)CC(=O)C1=CC=C(C=C1)F
H145,C1=CC(=C(C=C1Cl)O)O
H146,CC1=C(C=C(C=C1)C#N)Cl
H147,COC1=C(C=CC=C1Cl)N
H148,C1=CC(=C(N=C1)Cl)C(=O)O
H149,C1=NC(=O)NC(=C1Br)N
H150,C1=CC(=CC=C1N=C=O)Cl
H151,C1=C(SC(=C1)Br)C=O
H152,C1=CC(=CC=C1C(F)(F)F)Br
H153,C1=CC(=C(C=C1F)C(=O)O)O
H154,COC1=NC(=CC=C1)Cl
H155,CC(C1=CC=C(C=C1)F)N
H156,CC(C1=CC=C(C=C1)Br)N
H157,C1=CC(=CC=C1CCO)F
H158,CC1=C(C=CC(=C1)Br)N
H159,CC1=C(C=CC(=C1)N)Br
H160,COC1=C(C=C(C=C1)Br)C=O
H161,COC1=C(C=C(C(=C1)C=O)Br)OC
H162,COC1=C(C=C(C=C1)C=O)F
H163,C1=CSC(=C1)Cl
H164,C=CC1=CC=C(C=C1)F
H165,C1=CC(=C(C=C1[N+](=O)[O-])N)F
H166,C1=CC(=C(C=C1N)[N+](=O)[O-])F
H167,C1=CC(=NC=C1C(=O)O)Cl
H168,COC1=C(C(=CC(=C1)C=O)Cl)O
H169,COC1=CC(=CC=C1)Cl
H170,COC1=CC(=C(C=C1)Br)OC
H171,CC(=O)NC1=CC=C(C=C1)Cl
H172,COC1=CC=C(C=C1)Cl
H173,C1=CC(=CC=C1OCCl)Cl
H174,COC1=CC=CC=C1Br
H175,C1=CC=C(C(=C1)N=C=O)F
H176,C1=CC(=CC(=C1)F)N=C=O
H177,CC1=CC(=C(C=C1)Cl)O
H178,C1CC(C1)(C#N)C2=CC=C(C=C2)Cl
H179,C1=CSC(=N1)Br
H180,C=CC1=CC=CC=C1Cl
H181,COC1=CC=CC=C1Cl
H182,COC1=C(C=C(C=C1)Cl)C(=O)OC
H183,CC(=O)NC1=CC=C(C=C1)Br
H184,CC1(C(=C)N(C2=C1C=C(C=C2)Cl)C)C
H185,COC1=CC(=CC=C1)F
H186,CC1=CC(=CC=C1)F
H187,C1=CC=C(C(=C1)CN)F
H188,C1=CC(=CC=C1CN)F
H189,C1=CC(=CC(=C1)F)CO
H190,C1=CC=C(C(=C1)CO)F
H191,C1=CC(=CC(=C1)F)C(=O)Cl
H192,C1=CC(=C(C=C1F)[N+](=O)[O-])N
H193,COC(=O)C1=C(C=CC(=C1)Cl)O
H194,C1=CC(=C(C=C1O)Br)O
H195,C1=CC(=CC=C1[N+](=O)[O-])Br
H196,CC1=CC(=CC=C1)Br
H197,CC1=CC(=C(C=C1)C)Br
H198,C1=CC(=C(C=C1Cl)C#N)N
H199,C1=CC=C(C=C1)Br
H200,C1=CC=C(C=C1)F
H201,C1=CC(=CC=C1C(=O)CCC(=O)O)F
H202,C1=COC=C1Br
H203,C1=CC=C(C=C1)Cl
H204,CC(=O)OI(C1=CC=CC=C1)OC(=O)C
H205,C1=CC(=CC(=C1)Br)N
H206,C1=CC(=CC=C1CCO)Cl
H207,C1=CC(=CC=C1CCO)Br
H208,C1=CC=C(C(=C1)CO)I
H209,C1=CC(=C(C=C1Br)C(=O)O)NCC(=O)O
H210,CC(=O)C1=CC=CC=C1Br
H211,CC(=O)C1=CC=CC=C1Cl
H212,CC(=O)C1=CC=CC=C1F
H213,C1=CC(=C(C=C1Cl)O)C(=O)O
H214,C1=CC(=C(C=C1O)F)[N+](=O)[O-]
H215,C1=CC(=C(C=C1CO)[N+](=O)[O-])Cl
H216,C1=CC=C(C(=C1)CO)Br
H217,CS(=O)(=O)C1=CC=C(C=C1)F
H218,C1CC(=O)C2=C1C=C(C=C2)F
H219,C1=CC=C(C(=C1)CC#N)Cl
H220,C1=CC=C(C(=C1)[N+](=O)[O-])Cl
H221,C1=CC=C(C(=C1)O)Cl
H222,C1=CC(=CC=C1O)Cl
H223,C1=CC(=CC(=C1)Br)C(=O)O
H224,C1=CC(=CC=C1CO)Br
H225,C1=CC(=CC(=C1)Br)CBr
H226,C1=CC=C(C(=C1)CBr)Br
H227,C1=CC(=C(C=C1Cl)CO)[N+](=O)[O-]
H228,C1=CC(=CC(=C1)I)CO
H229,C1=CC(=CC(=C1)Br)CO
H230,C1=CC(=C(C=C1Cl)[N+](=O)[O-])CO
H231,C1=CC(=NC=C1N)Cl
H232,C1=CC(=C(C=C1[N+](=O)[O-])CO)Cl
H233,CC1=C(C=CC(=C1)F)N
H234,C1=CC(=CC=C1CCN)Br
H235,COC1=C(C=C(C=C1)Br)CO
H236,CCC(=O)C1=CC(=CC=C1)Br
H237,C1=CC=C(C(=C1)C(=O)N)Br
H238,C1=CC=C(C(=C1)CC(=O)O)Cl
H239,C1=CC(=CC(=C1)F)C(=O)N
H240,C1=CC(=CC=C1C(=O)N)Br
H241,C1=CC(=CC=C1CC(CO)N)Cl
H242,C1CN(CCN1)C2=CC=C(C=C2)F
H243,CC1=CC(=CC(=C1N)C)Br
H244,C1=CC(=C(N=C1)Cl)C(=O)N
H245,C1=CN=C(N=C1)Cl
H246,C1=CC=C(C(=C1)CCl)I
H247,C1=CC(=CC(=C1)Cl)CCO
H248,C1=CC=C(C(=C1)CCO)Cl
H249,C1=CC(=CC=C1OCC(=O)Cl)Cl
H250,CC(=O)C1=CC(=C(C=C1)Cl)[N+](=O)[O-]
H251,C1=CC=C(C(=C1)CCl)Cl
H252,C1=CC(=CC=C1C(F)(F)F)F
H253,C1=CSC(=C1)I
H254,C1=CC(=C(C=C1Cl)[N+](=O)[O-])CCl
H255,CC1=CC(=CC(=C1O)C)Br
H256,CSC1=CC=C(C=C1)Br
H257,C1=CC=C(C(=C1)C#N)F
H258,C1=CC(=CN=C1)F
H259,C1=CC(=C(C=C1Br)CO)O
H260,C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F
H261,C1COC(O1)C2=CC(=CC=C2)Br
H262,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
H263,C1CCN(C1)CCOC2=CC=C(C=C2)Br
H264,C1=CC(=CC=C1OCCCl)Br
H265,C1=CC(=CC=C1OCCO)Br
H266,C1=CC=C(C(=C1)CC#N)F
H267,CC1=CC(=C(C=C1N)Cl)[N+](=O)[O-]
H268,C1=CC=C(C(=C1)CC(=O)O)F
H269,CC1=C(C(=O)NC(=N1)N)Br
H270,C#CC1=CC=C(C=C1)Cl
H271,C#CC1=CC=C(C=C1)Br
H272,C1=CC(=CC=C1C(=O)O)I
H273,CC1=CC=C(C=C1)I
H274,C1=CC(=CC(=C1)I)C(F)(F)F
H275,CC(=O)CC1=CC=CC=C1F
H276,COC1=CC(=CC(=C1)Cl)OC
H277,CC(=O)CC1=CC=C(C=C1)F
H278,C1=CC=C(C(=C1)C(C(=O)O)N)F
H279,C1=CC=C(C(=C1)CBr)F
H280,C1=CC(=CC=C1CBr)F
H281,CNC1=CC=C(C=C1)Cl
H282,CC1=CC(=C(C=C1C)Br)C
H283,CCOC1=CC=C(C=C1)Br
H284,CC1=CC(=C(C=C1)Br)C
H285,CC1=CC(=C(C=C1)Cl)[N+](=O)[O-]
H286,COC(=O)CC(=O)C1=CC=C(C=C1)F
H287,C1=C(C=NN1)I
H288,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])F
H289,C1=CSC=C1I
H290,C1=CC=C(C(=C1)C(=O)N)Cl
H291,COC(=O)C1=CC=C(C=C1)Cl
H292,COC(=O)C1=C(C=C(C=C1)Cl)[N+](=O)[O-]
H293,C1=CC(=C(C=C1N)Cl)C(=O)O
H294,C1=CC(=C(C=C1Cl)C(F)(F)F)N
H295,C1=CC(=C(C=C1F)C(F)(F)F)N
H296,C1=CC(=C(C=C1N)C(F)(F)F)F
H297,C1=CC(=C(C=C1C(F)(F)F)N)Br
H298,C1=C(C=NC=C1Cl)O
H299,C1=CC(=CC(=C1)Cl)[N+](=O)[O-]
H300,C1=C(C=NC=N1)Br
H301,CC(=O)C1=CC(=CC=C1)F
H302,C1=CC=C(C(=C1)C(F)(F)F)F
H303,C1=CC(=CC(=C1)F)C(F)(F)F
H304,C=CC1=CC(=CC=C1)F
H305,CCCCC(=O)C1=CC=C(C=C1)Br
H306,CC1=C(C=C(C=C1)N)F
H307,CC1=C(C=CC=C1F)N
H308,CC1=C(C=C(C=C1)[N+](=O)[O-])F
H309,C1=CC=C(C(=C1)C=CC(=O)O)F
H310,C1=CC(=CC=C1C=CC(=O)O)F
H311,C1=CC(=CC=C1S(=O)(=O)Cl)I
H312,CNC1=CC=C(C=C1)F
H313,C1=C(C=NC(=C1[N+](=O)[O-])Cl)[N+](=O)[O-]
H314,C1=CC(=C(C=C1O)Cl)O
H315,C1=CC(=C(C=C1CC(=O)O)F)O
H316,C1=CC(=C(C=C1CC(=O)O)Cl)O
H317,C1=C(C(=O)NC(=O)N1)Cl
H318,CC1=CC(=C(C=C1)Cl)N
H319,CCOC(=O)CC(=O)C1=CC=CC=C1F
H320,C1=C(C=C(C(=C1[N+](=O)[O-])N)Cl)[N+](=O)[O-]
H321,CC1=C(C=CC(=C1)Cl)[N+](=O)[O-]
H322,C1=C(C=NC=C1Br)C(=O)O
H323,COC1=C(C=C(C=C1)N)Cl
H324,C1=CC=C(C(=C1)CCO)F
H325,C1=CC=C(C=C1)I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F
H326,C1=C[N+](=CC=C1Cl)[O-]
H327,C1=CC=C(C(=C1)N)Cl
H328,CC(C(=O)O)OC1=CC(=CC=C1)Cl
H329,C1=CC(=C(C=C1F)O)[N+](=O)[O-]
H330,COC(=O)C1=CC(=CC=C1)Cl
H331,C1=CC=C(C(=C1)OP(=O)(Cl)Cl)Cl
H332,C1=CC(=CC=C1OP(=O)(Cl)Cl)Cl
H333,C1=CC(=CC(=C1)F)C#N
H334,CC1=C(C=C(C=C1)N)Cl
H335,C1=C(SC(=C1)Cl)CCl
H336,C1=CC(=CC=C1N=C=O)Br
H337,CSC1=CC(=C(C=C1)Cl)C(=O)O
H338,C1=CC=C(C(=C1)S)Br
H339,C1=CC(=CC(=C1)Cl)S
H340,COC1=CC(=CC=C1)I
H341,CN(C)C1=CC=C(C=C1)Br
H342,C1=CC=C(C(=C1)CCN)Cl
H343,C1=CC(=CC(=C1)Cl)N=C=O
H344,C1=CN=C(N=C1)Br
H345,C1=C(C(=CC(=C1Cl)[N+](=O)[O-])O)N
H346,CC(=O)C1=CC=C(S1)Cl
H347,CC1=C(C=CC(=C1)[N+](=O)[O-])Br
H348,C1=CC=C(C(=C1)S)Cl
H349,CC(=O)C1=C(C=CC(=C1)F)O
H350,CC1=C(C=CC=C1F)[N+](=O)[O-]
H351,C1=CC(=CC(=C1)F)CC(=O)O
H352,CCC(=O)C1=CC(=CC=C1)Cl
H353,C1=CC(=C(C=C1N)C(=O)O)Cl
H354,CC1=CC(=C(C(=C1C)Br)C)C
H355,C1=CC(=CC=C1S(=O)(=O)N=C=O)Cl
H356,C1=CC=C(C(=C1)N=C=O)Br
H357,C1=CC=C(C(=C1)N=C=O)Cl
H358,C1=CC=C(C(=C1)C(=O)Cl)I
H359,C1=CC(=CC=C1C(=O)Cl)I
H360,C1=CC=C(C(=C1)CBr)Cl
H361,C1=CC(=CC(=C1)Br)N=C=O
H362,COC1=CC(=C(C=C1)OC)Br
H363,COC1=CC=CC=C1I
H364,C1=CC=C(C(=C1)N=C=S)Br
H365,C1=CC(=CC(=C1)Br)N=C=S
H366,C1=CC=C(C(=C1)N=C=S)F
H367,C1=CC(=CC(=C1)Cl)N=C=S
H368,C1=CC=C(C(=C1)N=C=S)Cl
H369,C1=CC(=CC=C1N=C=S)Cl
H370,CC(C)(C)C1=CC=C(C=C1)Br
H371,C1=CC(=CC=C1C(=O)NN)Br
H372,C1=CC(=CC(=C1)Br)C(=O)NN
H373,C1=CC=C(C(=C1)CC#N)Br
H374,C1=CC=C(C(=C1)C(=O)NN)Cl
H375,CC1=C(C=CC=C1Br)[N+](=O)[O-]
H376,C1=CC=C(C(=C1)CC(=O)O)Br
H377,C1=CC=C(C(=C1)CS)Cl
H378,C1=CC(=C(C=C1N=C=O)[N+](=O)[O-])F
H379,C1=CC(=CC(=C1)Br)S
H380,C1=CC(=CC(=C1)Br)C(=O)Cl
H381,C1=CC(=CC=C1C(=O)NN)Cl
H382,C1=CC(=CC(=C1)Br)CC#N
H383,C1=C(C=C(C(=C1O)Br)O)C(=O)O
H384,C1=CC(=C(C=C1Br)C(=O)O)N
H385,CSC1=CC=CC=C1Br
H386,C1=CC(=CC=C1C=CC(=O)O)Br
H387,CC1=CC(=C(C=C1Cl)C(C)C)O
H388,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br
H389,C1=CC(=CC=C1C=O)I
H390,CC1=CN=C(C=C1)Br
H391,CC1=C(C=C(C=C1)C(=O)O)Br
H392,CC1=CC(=C(C=C1)C)Cl
H393,C1=CC(=C(C=C1Cl)N)[N+](=O)[O-]
H394,C1=CC(=CC=C1N=C=S)Br
H395,CC1=C(C=NN1)Br
H396,C1=CC(=CC(=C1)Cl)C(=O)OO
H397,CC1=CC(=C(C=C1)O)Cl
H398,CC(=O)OI1(C2=CC=CC=C2C(=O)O1)(OC(=O)C)OC(=O)C
H399,C1=CC=C(C(=C1)F)S
H400,C1=CC(=CC(=C1)S)F
H401,C1=CC(=C(C(=C1)Cl)O)C(=O)O
H402,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C(=O)O
H403,CC1=C(C(=CC=C1)C)Cl
H404,CC1=CC(=CC(=C1)Br)C
H405,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N
H406,CC1=C(C=C(C=C1)C(=O)O)I
H407,C1=CC(=C(C=C1N)Cl)C#N
H408,C1=CC(=C(C=C1C(F)(F)F)N)F
H409,CCC1=C(C=CC(=C1)O)Cl
H410,C1=CC=C(C(=C1)O)I
H411,CC1=CC(=C(C=C1)[N+](=O)[O-])F
H412,C1=C(SC=C1Br)C=O
H413,CCOC(=O)C1=CC(=CC=C1)F
H414,C1OC2=C(O1)C=C(C=C2)Br
H415,CC(=O)C1=CC(=CC=C1)Cl
H416,C1=CC(=CC(=C1)Br)CC(=O)O
H417,CC1=CC(=NC=C1[N+](=O)[O-])Cl
H418,C1=C(C=C(C=C1C(F)(F)F)Br)C(F)(F)F
H419,C1OC2=C(O1)C=C(C=C2)Cl
H420,C1=CC(=CC(=C1)F)C=CC(=O)O
H421,C=CC1=CC=CC=C1F
H422,C1=CC(=CC=C1C(=O)Cl)F
H423,COC1=C(C=C(C=C1)Cl)C(=O)O
H424,COC1=CC(=C(C=C1C=O)Br)OC
H425,C1=CC(=C(C=C1C(=O)O)S(=O)(=O)N)Cl
H426,C1=CC(=CC=C1CC(C(=O)O)N)I
H427,C1=CC(=C(C=C1Br)C(F)(F)F)N
H428,C1=CC(=C(C=C1N)C(F)(F)F)Br
H429,COC(=O)C1=C(C=CC(=C1)[N+](=O)[O-])Br
H430,C1=CC(=C(C=C1C=CC(=O)O)[N+](=O)[O-])Cl
H431,C1=C(C=NC(=N1)N)Br
H432,CC1=C(C(=NC=C1)Cl)[N+](=O)[O-]
H433,COC(=O)C1=C(C=CC(=C1)Cl)N
H434,C1=CC(=CC=C1OCCBr)Cl
H435,C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)N
H436,C1=CC(=C(C=C1Br)[N+](=O)[O-])O
H437,C1=CC(=C(C=C1C(F)(F)F)F)C(=O)O
H438,CCOC(=O)C=CC1=CC=C(C=C1)Br
H439,C1=CC(=C(C(=C1)F)O)C=O
H440,CCCC1=CC=C(C=C1)Br
H441,COC1=CC(=CC(=C1)F)OC
H442,COC1=C(C=C(C=C1)F)[N+](=O)[O-]
H443,C1=CC(=NC=C1[N+](=O)[O-])Br
H444,CC(C1=CC=CC=C1Br)O
H445,C1CC(OC1CO)N2C=C(C(=O)NC2=O)I
H446,C1=CC(=CC=C1OC(=O)Cl)Br
H447,C1=CC(=CC=C1OC(=O)Cl)F
H448,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])F
H449,CCC1=C(C(=C(C=C1)Cl)CC)N
H450,CC(=O)C1=CC=C(S1)Br
H451,C1=CC(=C(C(=C1)[N+](=O)[O-])Br)C(=O)O
H452,CN1C=NC=C1Cl
H453,CCN1C(=NC=C1Cl)C
H454,C1=CC(=C(C=C1C(F)(F)F)C(F)(F)F)Br
H455,C1=CC(=C(C(=C1)F)C(=O)O)C(F)(F)F
H456,CC(=O)C1=C(C=C(C=C1)OC)F
H457,C1=CC(=CC=C1S(=O)(=O)O)Cl
H458,CN(C)C(=O)NC1=CC=C(C=C1)Cl
H459,C1=CC(=C(C(=C1)F)C(=O)O)C(=O)O
H460,COC1=C(C=C(C=C1)[N+](=O)[O-])F
H461,COC1=C(C=C(C=C1)N)F
H462,C1=CC(=C(C(=C1)C(F)(F)F)F)C#N
H463,C1=CC(=C(C(=C1)F)C#N)C(F)(F)F
H464,C1=CC(=C(C=C1C(F)(F)F)F)C#N
H465,CCCCC1=CC=C(C=C1)Br
H466,CCOC(=O)C1=CC=CC=C1Br
H467,CCOC(=O)C1=CC(=CC=C1)Br
H468,CC1=C(SC=C1)Br
H469,CC1=CC(=C(C=C1)N)F
H470,CC1=C(C=CC(=C1)F)O
H471,C1=CC(=C(C(=C1)C(F)(F)F)F)C(=O)O
H472,CC1=C(C=CC(=C1)OC)F
H473,CC1=C(C=CC(=C1)O)F
H474,CC1=C(C=CC(=C1)I)O
H475,C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])Cl
H476,COC1=C(C(=CC=C1)F)O
H477,COC1=CC(=C(C=C1)Br)[N+](=O)[O-]
H478,C1=CC(=C(C=C1Cl)CO)N
H479,C1=CC(=CC=C1OC(F)(F)F)Br
H480,C1CCC(=O)C2=C(C1)C=CC(=C2)F
H481,C1=CC(=CC(=C1)Cl)CCN
H482,COC1=CC(=C(C=C1C(=O)O)Cl)N
H483,C1=CSC=C1Cl
H484,CC1=C(C=CC=C1F)C(=O)O
H485,CC1=C(C=CC=C1F)C=O
H486,CCC1=CC=CC=C1Br
H487,C1=CC(=CC(=C1)Br)OC(F)(F)F
H488,C1=CC(=C(C(=C1)F)O)O
H489,C1=CC(=C(C=C1F)[N+](=O)[O-])O
H490,C1=CC(=C(C=C1[N+](=O)[O-])F)O
H491,CC(=O)C1=C(C=CC=C1F)C(F)(F)F
H492,C1=C(C=C(C=C1C(F)(F)F)F)CN
H493,C1=CC(=C(C(=C1)F)N)C(F)(F)F
H494,C1=CC(=C(C(=C1)N)F)C(F)(F)F
H495,C1=CC(=C(C=C1O)Cl)C=O
H496,C1=CC(=C(C=C1O)Cl)C#N
H497,CCNC(=O)C=CC1=CC(=CC=C1)Br
H498,COC(=O)C(CC1=CC=CC=C1Cl)C#N
H499,C1=CC(=C(C(=C1)C(F)(F)F)F)C=O
H500,C1=CC=C(C(=C1)CCC#N)Cl
H501,CC1=CC(=CC(=C1Br)C)OC(=O)NC
H502,C1=CC(=CC(=C1)F)CCN
H503,C[Si](C)(C)OC1=CC=C(C=C1)Br
H504,COC1=C(C=C(C(=C1)C=O)F)OC
H505,CC1=CC(=NC=C1)Br
H506,CC(=O)C1=CC=C(C=C1)I
H507,CC1=NC(=C(C=C1)C(=O)O)Cl
H508,CC1=C(C=C(C=C1)N)Br
H509,C1=CC(=C(C=C1O)[N+](=O)[O-])Cl
H510,C1=CC(=CC=C1NC(=O)CC#N)Cl
